Event,SiteID,DOC,PO4-P,TN,DIN-N,Fluoride,Chloride,Bromide,Sulfate,Lithium,Sodium,Potassium,Region,Reach,SiteType,Lat,Long,Area_SS,Watershed,Category,Mar 50%,Jul 50%,Fall 50%,Forest,%DEV,%IMP,%Herb
Spring,607,3.69,0.034448129,0.887,0.0499212,3.4965,240.6365,0.1829,182.5406,0.2882,189.4307,23.2829,Middle Provo,5,Mainstem,40.57241406,-111.4271644,267,Provo River,Mixed dammed,0,0,0,72.3,3.85,0.2,2.98
Spring,612,1.51,0.021823395,1.7645,0.4440604,7.5872,376.358,0.0119,92.192,0.4789,342.3122,17.0493,Upper Provo,5,Tributary,40.63837288,-111.2623183,36.5,Provo River,Mixed dammed,14.8,35,11.4,77.8,1.39,0.1,1.2
Spring,613,2.21,0.021673,0.8885,0.0876848,1.7431,414.1866,0.4631,102.508,0.4017,386.5727,17.6315,Upper Provo,5,Tributary,40.62900225,-111.196719,19.9,Provo River,Mixed dammed,9.67,30.6,9.35,83,1.21,0.11,0.94
Spring,617,1.84,0.025911967,0.78625,0.222215,0.74875,47.8294,0.0113,21.50675,0.16365,56.6832,9.9088,Upper Provo,9,Mainstem,40.57981348,-111.0474648,60.3,Provo River,Mixed dammed,15,113,14.9,78.5,2.78,0.12,4.91
Spring,618,,0.0470182,,,,,,,,,,Middle Provo,9,Tributary,40.4484902,-111.3702173,41.4,Provo River,Mixed dammed,0,0,0,78.9,2.29,0.11,0.95
Spring,619,2.53,0.01770884,2.7245,0.4157538,6.4637,172.0918,0.238,152.4569,0.3333,202.3564,38.172,Upper Provo,3,Mainstem,40.60183837,-111.2908947,218,Provo River,Mixed dammed,42.3,187,28.3,76.5,1.8,0.1,3.18
Spring,620,1.48,0.016402294,0.5695,0.0308063,3.1882,105.9034,0.04955,143.2384,0.33435,127.9962,14.1403,Upper Provo,4,Canal,40.62447857,-111.3030168,172,Provo River,Mixed dammed,47.5,93.9,40.5,72.4,0.74,0.0295,4.13
Spring,621,1.46,0.02937084,0.4325,0.0169862,3.2367,75.1753,0.0499,149.7027,0.3268,107.0482,13.319,Upper Provo,4,Canal,40.64849136,-111.2796356,172,Provo River,Mixed dammed,47.5,93.9,40.5,72.4,0.74,0.0295,4.13
Spring,623,,0.051914069,,0.1977808,10.5013,572.2317,0.1777,452.7202,2.4795,619.006,63.9118,Upper Provo,6,Mainstem,40.5785185,-111.2279262,196,Provo River,Mixed dammed,40.5,200,29,79.2,1.73,0.0942,3.24
Spring,627,,0.02953506,,0.189336,9.7121,584.0747,1.1126,403.2132,1.9392,705.557,53.8296,Lower Provo,1,Mainstem,40.238502,-111.721711,685,Provo River,Mixed dammed,0,0,0,64.9,5.51,1.06,3.49
Spring,628,,0.023441772,,0.206381,9.1196,626.8686,0.0892,396.7664,1.9348,692.5469,47.0042,Lower Provo,2,Mainstem,40.237897,-111.703843,684,Provo River,Mixed dammed,0,0,0,65,5.38,1,3.5
Spring,629,,0.031219887,,0.787696,26.6847,13144.2158,2.5827,1089.6574,12.0782,12408.4948,466.1613,South Valley,2,Spring,39.95919,-111.85555,0,Currant Creek,Lake Tributary,0,0,0,50,0,0,3
Spring,631,13.28,0.027060028,2.87225,0.0079534,21.3834,6112.6031,2.8756,1668.6303,12.9926,8054.3486,437.253,Spanish Fork,2,PointAg,40.10773608,-111.6943675,0.5,Spanish Fork,Ag unreg,38.8,80.4,48.5,56.4,1.68,0.39,5.46
Spring,639,,0.0677853,,0.2176944,5.928,1766.9006,0.1668,513.1332,1.455,1730.2605,145.8848,Middle Provo,11,Mainstem,40.495972,-111.45232,375,Provo River,Mixed dammed,0,0,0,66.9,4.88,0.63,0
Spring,644,2.26,0.028729894,1.49075,0.2208332,9.4824,559.1559,1.0343,395.4019,1.8712,680.4,49.4125,Lower Provo,3,Mainstem,40.240558,-111.686592,683,Provo River,Mixed dammed,117,202,41.3,65.1,5.27,0.95,3.5
Summer,102,5.86,0.058734605,0.65,0.0018326,12.1329,6385.2467,1.6038,1205.9731,2.0234,9329.9238,171.9013,South Valley,2,Mainstem,39.95244172,-111.9336269,379,Currant Creek,Lake Tributary,30,40.8,21.5,37.1,3.55,0.69,7.14
Summer,104,6.96,0.038375764,1.947333333,0.1184372,12.8054,5991.7668,1.5271,1156.9204,1.5863,350.7058,22.1251,South Valley,2,Mainstem,39.91328423,-111.9007677,302,Currant Creek,Lake Tributary,26.6,36.5,20.2,37.1,4.24,0.79,7.42
Summer,123,4.39,0.029414666,1.566333333,0.310044,7.9853,541.834,0.2726,429.6769,1.223,62.7264,8.1336,American Fork,1,Tributary,40.4232475,-111.8292798,39.3,Other,Lake Tributary,12.1,7.39,4.51,43.2,17.3,5.44,6.96
